#this_apt_name;that_apt_name;passengers;
DUNDEE;MANCHESTER;7286
EAST MIDLANDS;EDINBURGH;81128
EAST MIDLANDS;GLASGOW;80470
EAST MIDLANDS;GUERNSEY;13743
EAST MIDLANDS;JERSEY;62883
EAST MIDLANDS;SUMBURGH;0
EDINBURGH;EXETER;0
EDINBURGH;GLASGOW;381
EDINBURGH;GUERNSEY;310
EDINBURGH;HUMBERSIDE;181
EDINBURGH;INVERNESS;2906
EDINBURGH;JERSEY;11529
EDINBURGH;KIRKWALL;8922
EDINBURGH;LEEDS BRADFORD;19661
EDINBURGH;MANCHESTER;125793
EDINBURGH;NEWCASTLE;1844
EDINBURGH;NORWICH;3096
EDINBURGH;PLYMOUTH;1834
EDINBURGH;SOUTHAMPTON;35793
EDINBURGH;SUMBURGH;7696
EDINBURGH;TEESSIDE;0
EXETER;GUERNSEY;21162
EXETER;ISLES OF SCILLY (ST.MARYS);5861
EXETER;JERSEY;34855
EXETER;LONDONDERRY;62
EXETER;MANCHESTER;148
EXETER;NEWCASTLE;170
EXETER;SOUTHAMPTON;72
GLASGOW;GUERNSEY;2700
GLASGOW;INVERNESS;17183
GLASGOW;ISLE OF MAN;22820
GLASGOW;JERSEY;27388
GLASGOW;KIRKWALL;4799
GLASGOW;LEEDS BRADFORD;30308
GLASGOW;LONDONDERRY;16006
GLASGOW;MANCHESTER;125817
GLASGOW;PLYMOUTH;3452
GLASGOW;SOUTHAMPTON;34418
GLASGOW;SUMBURGH;3621
GUERNSEY;JERSEY;177603
GUERNSEY;LEEDS BRADFORD;3136
GUERNSEY;LONDONDERRY;0
GUERNSEY;MANCHESTER;32069
GUERNSEY;NEWCASTLE;1039
GUERNSEY;NEWQUAY;0
GUERNSEY;NORWICH;1785
GUERNSEY;PLYMOUTH;1758
GUERNSEY;SOUTHAMPTON;103762
HUMBERSIDE;JERSEY;5604
HUMBERSIDE;NORWICH;30
HUMBERSIDE;TEESSIDE;519
INVERNESS;KIRKWALL;7310
INVERNESS;SUMBURGH;3402
ISLE OF MAN;JERSEY;704
ISLE OF MAN;LEEDS BRADFORD;15066
ISLE OF MAN;LIVERPOOL;244511
ISLE OF MAN;LONDONDERRY;1007
ISLE OF MAN;MANCHESTER;79860
ISLE OF MAN;NEWCASTLE;870
ISLE OF MAN;SOUTHAMPTON;3448
ISLES OF SCILLY (ST.MARYS);LANDS END (ST JUST);34468
ISLES OF SCILLY (ST.MARYS);NEWQUAY;872
ISLES OF SCILLY (ST.MARYS);PENZANCE HELIPORT;79360
ISLES OF SCILLY (ST.MARYS);PLYMOUTH;1580
ISLES OF SCILLY (ST.MARYS);SOUTHAMPTON;1272
ISLES OF SCILLY (TRESCO);PENZANCE HELIPORT;26515
JERSEY;LEEDS BRADFORD;27087
JERSEY;LIVERPOOL;7084
JERSEY;LONDONDERRY;613
JERSEY;MANCHESTER;103296
JERSEY;NEWCASTLE;13238
JERSEY;NEWQUAY;0
JERSEY;NORWICH;7445
JERSEY;PLYMOUTH;9208
JERSEY;SOUTHAMPTON;146713
JERSEY;TEESSIDE;10793
JERSEY;SUMBURGH;8243
LANDS END (ST JUST);NEWQUAY;23
LEEDS BRADFORD;NEWCASTLE;0
LEEDS BRADFORD;SOUTHAMPTON;13644
LONDONDERRY;MANCHESTER;17338
MANCHESTER;NEWCASTLE;6310
MANCHESTER;NORWICH;0
MANCHESTER;SOUTHAMPTON;48290
MANCHESTER;SUMBURGH;0
MANCHESTER;PLYMOUTH;6
MANCHESTER;PRESTWICK;56
MANCHESTER;SOUTHAMPTON;21783
NEWQUAY;PLYMOUTH;144
NORWICH;TEESSIDE;491
NORWICH;SUMBURGH;3679
