#this_apt_name;that_apt_name;passengers;
HEATHROW;ABERDEEN;489933
HEATHROW;BELFAST CITY;634233
HEATHROW;BELFAST INTERNATIONAL;290841
HEATHROW;EDINBURGH;1513986
HEATHROW;GLASGOW;1326609
HEATHROW;ISLE OF MAN;27533
HEATHROW;LEEDS BRADFORD;168258
HEATHROW;MANCHESTER;1184002
HEATHROW;NEWCASTLE;414698
HEATHROW;TEESSIDE;141059
GATWICK;ABERDEEN;229579
GATWICK;BELFAST CITY;276329
GATWICK;BELFAST INTERNATIONAL;0
GATWICK;BRISTOL;606
GATWICK;EDINBURGH;655804
GATWICK;EXETER;49
GATWICK;GLASGOW;312487
GATWICK;GUERNSEY;302525
GATWICK;INVERNESS;147231
GATWICK;ISLE OF MAN;83326
GATWICK;JERSEY;501724
GATWICK;LEEDS BRADFORD;33503
GATWICK;MANCHESTER;386570
GATWICK;NEWCASTLE;192719
GATWICK;NEWQUAY;58973
GATWICK;PLYMOUTH;43183
LONDON CITY;ABERDEEN;133
LONDON CITY;BELFAST CITY;50112
LONDON CITY;DUNDEE;44311
LONDON CITY;EDINBURGH;139911
LONDON CITY;GLASGOW;1099
LONDON CITY;INVERNESS;0
LONDON CITY;ISLE OF MAN;68688
LONDON CITY;JERSEY;85447
LONDON CITY;MANCHESTER;21519
LUTON;ABERDEEN;163327
LUTON;BELFAST INTERNATIONAL;407653
LUTON;EDINBURGH;502512
LUTON;GLASGOW;509340
LUTON;INVERNESS;111888
LUTON;ISLE OF MAN;37174
LUTON;JERSEY;8744
LUTON;LIVERPOOL;375
LUTON;MANCHESTER;1414
SOUTHEND;STANSTED;0
STANSTED;BELFAST CITY;0
STANSTED;BELFAST INTERNATIONAL;397568
STANSTED;EDINBURGH;514859
STANSTED;GLASGOW;334212
STANSTED;GUERNSEY;46854
STANSTED;JERSEY;7257
STANSTED;LONDONDERRY;128622
STANSTED;MANCHESTER;31126
STANSTED;NEWCASTLE;222037
STANSTED;NEWQUAY;72964
STANSTED;NORWICH;0
STANSTED;PRESTWICK;659512
ABERDEEN;BELFAST CITY;8142
ABERDEEN;BELFAST INTERNATIONAL;0
ABERDEEN;BIRMINGHAM;49555
ABERDEEN;BRISTOL;23064
ABERDEEN;CARDIFF WALES;3625
ABERDEEN;EDINBURGH;101
ABERDEEN;GLASGOW;3304
ABERDEEN;KIRKWALL;38982
ABERDEEN;LEEDS BRADFORD;12501
ABERDEEN;MANCHESTER;141708
ABERDEEN;NEWCASTLE;45599
ABERDEEN;NORWICH;57
ABERDEEN;PLYMOUTH;504
ABERDEEN;SOUTHAMPTON;9334
ABERDEEN;SUMBURGH;76659
ALDERNEY;GUERNSEY;30211
ALDERNEY;JERSEY;8978
ALDERNEY;SOUTHAMPTON;25487
BELFAST CITY;BIRMINGHAM;184962
BELFAST CITY;BLACKPOOL;3454
BELFAST CITY;BRISTOL;62284
BELFAST CITY;CARDIFF WALES;8426
BELFAST CITY;EAST MIDLANDS;75349
BELFAST CITY;EDINBURGH;41822
BELFAST CITY;EXETER;1671
BELFAST CITY;GLASGOW;46650
BELFAST CITY;ISLE OF MAN;41064
BELFAST CITY;JERSEY;10139
BELFAST CITY;LEEDS BRADFORD;89386
BELFAST CITY;LIVERPOOL;0
BELFAST CITY;MANCHESTER;135542
BELFAST CITY;NEWCASTLE;99088
BELFAST CITY;SHEFFIELD CITY;10155
BELFAST CITY;SOUTHAMPTON;19070
BELFAST INTERNATIONAL;BIRMINGHAM;108243
BELFAST INTERNATIONAL;BRISTOL;162151
BELFAST INTERNATIONAL;CARDIFF WALES;10023
BELFAST INTERNATIONAL;EAST MIDLANDS;19198
BELFAST INTERNATIONAL;EDINBURGH;335529
BELFAST INTERNATIONAL;GLASGOW;380364
BELFAST INTERNATIONAL;JERSEY;1492
BELFAST INTERNATIONAL;LIVERPOOL;539612
BELFAST INTERNATIONAL;MANCHESTER;466
BIRMINGHAM;EDINBURGH;299412
BIRMINGHAM;EXETER;0
BIRMINGHAM;GLASGOW;251348
BIRMINGHAM;GUERNSEY;36970
BIRMINGHAM;ISLE OF MAN;49887
BIRMINGHAM;JERSEY;90782
BIRMINGHAM;MANCHESTER;49
BIRMINGHAM;NEWCASTLE;29307
BLACKPOOL;ISLE OF MAN;865
BOURNEMOUTH;GLASGOW;103
BOURNEMOUTH;LEEDS BRADFORD;6
BRISTOL;CARDIFF WALES;17
BRISTOL;EDINBURGH;294469
BRISTOL;EXETER;2
BRISTOL;GLASGOW;258798
BRISTOL;GUERNSEY;1695
BRISTOL;ISLE OF MAN;15368
BRISTOL;ISLES OF SCILLY (ST.MARYS);3642
BRISTOL;JERSEY;24328
BRISTOL;LEEDS BRADFORD;2583
BRISTOL;MANCHESTER;0
BRISTOL;NEWCASTLE;42652
BRISTOL;NEWQUAY;0
BRISTOL;PLYMOUTH;10231
CARDIFF WALES;EDINBURGH;29453
CARDIFF WALES;GLASGOW;17924
CARDIFF WALES;GUERNSEY;0
CARDIFF WALES;JERSEY;24088
CARDIFF WALES;NEWCASTLE;1624
CARDIFF WALES;SOUTHAMPTON;83
COVENTRY;EDINBURGH;19
DUBLIN;JERSEY;0
EAST MIDLANDS;EDINBURGH;186329
EAST MIDLANDS;GLASGOW;174363
EAST MIDLANDS;GUERNSEY;10651
EAST MIDLANDS;ISLE OF MAN;1177
EAST MIDLANDS;JERSEY;57895
EDINBURGH;EXETER;46
EDINBURGH;GLASGOW;155
EDINBURGH;GUERNSEY;5
EDINBURGH;INVERNESS;12254
EDINBURGH;ISLE OF MAN;3572
EDINBURGH;JERSEY;10845
EDINBURGH;KIRKWALL;18386
EDINBURGH;LEEDS BRADFORD;48772
EDINBURGH;MANCHESTER;179303
EDINBURGH;PLYMOUTH;26
EDINBURGH;SOUTHAMPTON;65332
EDINBURGH;SUMBURGH;15733
EXETER;GLASGOW;34
EXETER;GUERNSEY;29459
EXETER;ISLES OF SCILLY (ST.MARYS);4416
EXETER;JERSEY;41044
EXETER;NEWCASTLE;8
GLASGOW;GUERNSEY;0
GLASGOW;INVERNESS;26652
GLASGOW;ISLE OF MAN;23344
GLASGOW;JERSEY;13674
GLASGOW;KIRKWALL;5274
GLASGOW;LEEDS BRADFORD;37544
GLASGOW;LONDONDERRY;14223
GLASGOW;MANCHESTER;128051
GLASGOW;PLYMOUTH;1249
GLASGOW;SOUTHAMPTON;63284
